Mass	Value
35,031	5,976632E-09
35,063	5,605566E-09
35,094	5,208162E-09
35,125	4,810009E-09
35,156	4,450543E-09
35,188	4,197691E-09
35,219	4,073521E-09
35,250	4,067890E-09
35,281	4,274039E-09
35,313	4,931177E-09
35,344	6,347249E-09
35,375	8,771600E-09
35,406	1,223504E-08
35,438	1,653012E-08
35,469	2,135242E-08
35,500	2,631258E-08
35,531	3,086610E-08
35,563	3,450917E-08
35,594	3,709493E-08
35,625	3,878806E-08
35,656	3,976741E-08
35,688	4,018402E-08
35,719	4,029447E-08
35,750	4,031643E-08
35,781	4,020519E-08
35,813	3,983106E-08
35,844	3,927250E-08
35,875	3,873755E-08
35,906	3,823630E-08
35,938	3,746965E-08
35,969	3,613175E-08
36,000	3,423844E-08
36,031	3,208982E-08
36,063	2,999542E-08
36,094	2,809478E-08
36,125	2,635453E-08
36,156	2,461401E-08
36,188	2,268367E-08
36,219	2,048085E-08
36,250	1,803432E-08
36,281	1,543563E-08
36,313	1,294600E-08
