,Start,Center,End,alphaC,alphaC_std,alphaN,alphaN_std
117,0.0033570494647468968,0.005881548974269932,0.008406048483792969,[ 1.83473561e-01  6.20704229e+01 -2.02353123e+03],[9.73230147e-04 3.33482723e-01 2.74453717e+01],[0. 0.],[0. 0.]
118,0.003375749461113734,0.005900248970636769,0.008424748480159805,[ 1.83028544e-01  6.22258279e+01 -2.03661588e+03],[9.80133585e-04 3.34794028e-01 2.74719827e+01],[0. 0.],[0. 0.]
119,0.0033944494574805716,0.005918948967003608,0.008443448476526642,[ 1.82575339e-01  6.23833389e+01 -2.04981970e+03],[9.86751191e-04 3.35999365e-01 2.74897362e+01],[0. 0.],[0. 0.]
120,0.0034131494538474087,0.005937648963370444,0.00846214847289348,[ 1.82114654e-01  6.25427000e+01 -2.06312124e+03],[9.93079127e-04 3.37098442e-01 2.74986880e+01],[0. 0.],[0. 0.]
121,0.003431849450214246,0.005956348959737281,0.008480848469260317,[ 1.81645535e-01  6.27042335e+01 -2.07654657e+03],[9.99113879e-04 3.38091046e-01 2.74988975e+01],[0. 0.],[0. 0.]
122,0.003450549446581083,0.00597504895610412,0.008499548465627154,[ 1.81168592e-01  6.28677179e+01 -2.09007708e+03],[1.00485230e-03 3.38977126e-01 2.74904374e+01],[0. 0.],[0. 0.]
123,0.0034692494429479207,0.005993748952470956,0.008518248461993993,[ 1.80684819e-01  6.30328018e+01 -2.10368384e+03],[1.01028994e-03 3.39756147e-01 2.74733396e+01],[0. 0.],[0. 0.]
124,0.003487949439314758,0.006012448948837793,0.00853694845836083,[ 1.80192461e-01  6.32000809e+01 -2.11741497e+03],[1.01542387e-03 3.40428142e-01 2.74476834e+01],[0. 0.],[0. 0.]
125,0.003506649435681595,0.006031148945204632,0.008555648454727666,[ 1.79694256e-01  6.33686082e+01 -2.13119335e+03],[1.02025059e-03 3.40992915e-01 2.74135266e+01],[0. 0.],[0. 0.]
126,0.0035253494320484323,0.006049848941571468,0.008574348451094504,[ 1.79188095e-01  6.35390987e+01 -2.14507667e+03],[1.02476665e-03 3.41450319e-01 2.73709322e+01],[0. 0.],[0. 0.]
127,0.00354404942841527,0.006068548937938305,0.008593048447461341,[ 1.78675339e-01  6.37110809e+01 -2.15902659e+03],[1.02896887e-03 3.41800261e-01 2.73199651e+01],[0. 0.],[0. 0.]
128,0.003562749424782107,0.006087248934305142,0.008611748443828178,[ 1.78155248e-01  6.38847991e+01 -2.17306255e+03],[1.03285424e-03 3.42042754e-01 2.72606993e+01],[0. 0.],[0. 0.]
129,0.0035814494211489443,0.00610594893067198,0.008630448440195015,[ 1.77627446e-01  6.40603724e+01 -2.18719377e+03],[1.03641949e-03 3.42177685e-01 2.71931976e+01],[0. 0.],[0. 0.]
130,0.003600149417515782,0.006124648927038817,0.008649148436561853,[ 1.77095449e-01  6.42366095e+01 -2.20132489e+03],[1.03966194e-03 3.42205161e-01 2.71175389e+01],[0. 0.],[0. 0.]
131,0.003618849413882619,0.006143348923405654,0.00866784843292869,[ 1.76555697e-01  6.44147051e+01 -2.21555127e+03],[1.04257884e-03 3.42125269e-01 2.70338016e+01],[0. 0.],[0. 0.]
